ds,y,vix
2019-01-09 23:00:00,4003.54,41.057
2019-01-10 00:00:00,4015.54,41.057
2019-01-10 01:00:00,4022.51,41.057
2019-01-10 02:00:00,4017.37,41.057
2019-01-10 03:00:00,4017.99,41.057
2019-01-10 04:00:00,4018.39,41.057
2019-01-10 05:00:00,4025.91,41.057
2019-01-10 06:00:00,3848.58,42.107
2019-01-10 07:00:00,3799.04,41.327
2019-01-10 08:00:00,3794.78,41.297
2019-01-10 09:00:00,3778.81,41.027
2019-01-10 10:00:00,3783.32,41.357
2019-01-10 11:00:00,3783.51,40.988
2019-01-10 12:00:00,3783.07,40.637
2019-01-10 13:00:00,3773.62,40.637
2019-01-10 14:00:00,3777.54,40.637
2019-01-10 15:00:00,3778.9,40.637
2019-01-10 16:00:00,3617.99,40.637
2019-01-10 17:00:00,3610.33,40.637
2019-01-10 18:00:00,3605.84,40.637
2019-01-10 19:00:00,3622.45,40.637
2019-01-10 20:00:00,3632.07,40.637
2019-01-10 21:00:00,3626.6,40.637
2019-01-10 22:00:00,3627.99,40.637
2019-01-10 23:00:00,3628.88,40.637
2019-01-11 00:00:00,3628.06,40.637
2019-01-11 01:00:00,3641.98,40.637
2019-01-11 02:00:00,3625.95,40.637
2019-01-11 03:00:00,3618.62,40.637
2019-01-11 04:00:00,3602.72,40.637
2019-01-11 05:00:00,3613.25,40.637
2019-01-11 06:00:00,3624.49,40.758
2019-01-11 07:00:00,3630.84,40.357
2019-01-11 08:00:00,3651.95,40.047
2019-01-11 09:00:00,3647.18,39.497
2019-01-11 10:00:00,3631.43,39.408
2019-01-11 11:00:00,3632.51,39.438
2019-01-11 12:00:00,3631.89,39.267
2019-01-11 13:00:00,3635.62,39.267
2019-01-11 14:00:00,3642.3,39.267
2019-01-11 15:00:00,3647.45,39.267
2019-01-11 16:00:00,3646.83,39.267
2019-01-11 17:00:00,3652.52,39.267
2019-01-11 18:00:00,3648.7,39.267
2019-01-11 19:00:00,3653.41,39.267
2019-01-11 20:00:00,3655.56,39.267
2019-01-11 21:00:00,3663.58,39.267
2019-01-11 22:00:00,3636.13,39.267
